months,ni–osenfermos,ni–oscurados,ni–osfallecidos
2032.667,112743.696866,25.3673317948,9.58321423359
2032.75,113836.870011,25.6132957525,9.67613395096
2032.833,114936.588605,25.8607324361,9.76961003142
2032.917,116042.899043,26.1096522847,9.86364641868
2033.0,117155.845626,26.3600652657,9.95824687817
2033.083,118275.47042,26.6119808445,10.0534149857
2033.167,119401.813142,26.865407957,10.1491541171
2033.25,120534.911039,27.1203549839,10.2454674383
2033.333,121674.798788,27.3768297273,10.342357897
2033.417,122821.508396,27.6348393891,10.4398282137
2033.5,123975.069117,27.8943905513,10.5378808749
2033.583,125135.507365,28.1554891572,10.6365181261
2033.667,126302.846649,28.418140496,10.7357419651
2033.75,127477.107497,28.6823491868,10.8355541372
2033.833,128658.307403,28.9481191657,10.9359561293
2033.917,129846.460771,29.2154536734,11.0369491655
2034.0,131041.578864,29.4843552443,11.1385342034
2034.083,132243.669765,29.7548256971,11.24071193
2034.167,133452.738337,30.0268661258,11.3434827587
2034.25,134668.78619,30.3004768928,11.4468468262
2034.333,135891.811654,30.5756576221,11.5508039906
2034.417,137121.809752,30.8524071941,11.6553538289
2034.5,138358.772183,31.1307237411,11.7604956355
2034.583,139602.687304,31.4106046435,11.8662284209
2034.667,140853.54012,31.6920465271,11.9725509102
2034.75,142111.312271,31.975045261,12.0794615431
2034.833,143375.982028,32.2595959563,12.1869584724
2034.917,144647.52429,32.5456929654,12.2950395647
2035.0,145925.910586,32.8333298818,12.4037023998
2035.083,147211.109073,33.1224995414,12.5129442712
2035.167,148503.084545,33.4131940227,12.6227621864
2035.25,149801.798441,33.7054046493,12.7331528675
2035.333,151107.208852,33.9991219918,12.8441127524
2035.417,152419.270535,34.2943358703,12.9556379954
2035.5,153737.934925,34.5910353581,13.0677244686
2035.583,155063.150154,34.8892087847,13.1803677631
2035.667,156394.861068,35.1888437403,13.2935631908
2035.75,158068.556336,35.5654251756,13.4358272886
2035.833,159750.221067,35.94379974,13.5787687907
2035.917,161439.774142,36.3239491819,13.722380802
2036.0,163137.130441,36.7058543493,13.8666560875
2036.083,164842.200876,37.0894951971,14.0115870745
2036.167,166554.89242,37.4748507944,14.1571658557
2036.25,168275.108142,37.861899332,14.3033841921
2036.333,170002.747246,38.2506181303,14.4502335159
2036.417,171737.705101,38.6409836478,14.5977049336
2036.5,173479.873287,39.0329714895,14.7457892294
2036.583,175229.139625,39.4265564156,14.8944768681
2036.667,176985.388223,39.8217123503,15.043757999
2036.75,178748.499516,40.2184123912,15.1936224589
2036.833,180518.350305,40.6166288186,15.3440597759
2036.917,182294.813799,41.0163331048,15.4950591729
2037.0,184077.759663,41.4174959242,15.6466095714
2037.083,185867.054057,41.8200871628,15.7986995948
2037.167,187662.559681,42.2240759282,15.9513175729
2037.25,189464.135821,42.6294305598,16.1044515448
2037.333,191271.638396,43.0361186391,16.2580892636
2037.417,193084.919999,43.4441069998,16.4122181999
2037.5,194903.829965,43.853361742,16.566825547
2037.583,196728.21444,44.2638482489,16.7218982274
2037.667,198557.916476,44.6755312072,16.8774229005
2037.75,200392.776133,45.08837463,17.0333859713
2037.833,202232.630589,45.5023418826,17.1897736001
2037.917,204077.314268,45.9173957103,17.3465717128
2038.0,205926.658974,46.3334982691,17.5037660128
2038.083,207780.494033,46.7506111574,17.6613419928
2038.167,209638.646449,47.168695451,17.8192849482
2038.25,211500.941061,47.5877117388,17.9775799902
2038.333,213367.200713,48.0076201604,18.1362120606
2038.417,215237.246424,48.4283804455,18.2951659461
2038.5,217110.897573,48.849951954,18.4544262937
2038.583,218987.97208,49.272293718,18.6139776268
2038.667,220868.286598,49.6953644847,18.7738043609
2038.75,222751.656709,50.1191227596,18.9338908203
2038.833,224637.897119,50.5435268518,19.0942212551
2038.917,226526.821863,50.9685349193,19.2547798584
2039.0,228418.24451,51.3941050147,19.4155507833
2039.083,230311.978368,51.8201951328,19.5765181613
2039.167,232207.836698,52.246763257,19.7376661193
2039.25,234105.632924,52.6737674079,19.8989787985
2039.333,236005.180847,53.1011656905,20.060440372
2039.417,237906.29486,53.5289163436,20.2220350631
2039.5,239808.790167,53.9569777876,20.3837471642
2039.583,241712.482995,54.3853086738,20.5455610545
2039.667,243617.190815,54.8138679334,20.7074612193
2039.75,245522.73256,55.2426148261,20.8694322676
2039.833,247428.928843,55.6715089897,21.0314589517
2039.917,249335.602172,56.1005104886,21.1935261846
2040.0,251242.577169,56.5295798631,21.3556190594
2040.083,253149.680791,56.958678178,21.5177228672
2040.167,255056.742539,57.3877670712,21.6798231158
2040.25,256963.594677,57.8168088022,21.8419055475
2040.333,258870.072447,58.2457663006,22.003956158
2040.417,260776.014281,58.6746032133,22.1659612139
2040.5,262681.262013,59.103283953,22.3279072711
2040.583,264585.661088,59.5317737448,22.4897811925
2040.667,266489.060771,59.9600386735,22.6515701656
2040.75,268391.314357,60.3880457303,22.8132617203
2040.833,270292.279371,60.8157628585,22.9748437466
2040.917,272191.817776,61.2431589997,23.136304511
2041.0,274089.796171,61.6702041386,23.2976326746
2041.083,275986.085993,62.0968693484,23.4588173094
2041.167,277880.563709,62.5231268346,23.6198479153
2041.25,279773.111019,62.9489499792,23.7807144366
