months,desechosurbanos,desechosurbanosgenerados,desechosurbanosreciclados
2033.667,5619584.02405,677187.546146,562464.164967
2033.75,5629144.30581,677645.776385,563421.053569
2033.833,5638663.03272,678104.316694,564373.782945
2033.917,5648140.57719,678563.167282,565322.390371
2034.0,5657577.3086,679022.328358,566266.912818
2034.083,5666973.59323,679481.800134,567207.386947
2034.167,5676329.79433,679941.582818,568143.849115
2034.25,5685646.27214,680401.676623,569076.335378
2034.333,5694923.38391,680862.081757,570004.881496
2034.417,5704161.48393,681322.798433,570929.522927
2034.5,5713360.92356,681783.82686,571850.294839
2034.583,5722522.05123,682245.167249,572767.232107
2034.667,5731645.21249,682706.819812,573680.369318
2034.75,5740730.75003,683168.78476,574589.74077
2034.833,5749779.00369,683631.062305,575495.38048
2034.917,5758790.31051,684093.652657,576397.322179
2035.0,5767765.00472,684556.556028,577295.599322
2035.083,5776703.41778,685019.772631,578190.245085
2035.167,5785605.87841,685483.302677,579081.29237
2035.25,5794472.7126,685947.146379,579968.773804
2035.333,5803304.24365,686411.303948,580852.721747
2035.417,5812100.79216,686875.775597,581733.168288
2035.5,5820862.67611,687340.561539,582610.145252
2035.583,5829590.2108,687805.661985,583483.684199
2035.667,5838283.70895,688271.07715,584353.816428
2035.75,5846943.48067,688736.807245,585220.572981
2035.833,5855569.83353,689202.852485,586083.984638
2035.917,5864163.07252,689669.213082,586944.081928
2036.0,5872723.50011,690135.889249,587800.895126
2036.083,5881251.41629,690602.881201,588654.454256
2036.167,5889747.11853,691070.189151,589504.789094
2036.25,5898210.90187,691537.813312,590351.929168
2036.333,5906643.05888,692005.753899,591195.903764
2036.417,5915043.87973,692474.011126,592036.741922
2036.5,5923413.65216,692942.585207,592874.472445
2036.583,5931752.66156,693411.476356,593709.123895
2036.667,5940061.19093,693880.684788,594540.7246
2036.75,5948339.52095,694350.210718,595369.302652
2036.833,5956587.92995,694820.054361,596194.885909
2036.917,5964806.69399,695290.215931,597017.502001
2037.0,5972996.08682,695760.695644,597837.17833
2037.083,5981156.37993,696231.493714,598653.942067
2037.167,5989287.84256,696702.610359,599467.820162
2037.25,5997390.74175,697174.045792,600278.839341
2037.333,6005465.34228,697645.800229,601087.026109
2037.417,6013511.90679,698117.873887,601892.406751
2037.5,6021530.69572,698590.266982,602695.007335
2037.583,6029521.96736,699062.979729,603494.853713
2037.667,6037485.97786,699536.012346,604291.971524
2037.75,6045422.98126,700009.365047,605086.386195
2037.833,6053333.2295,700483.038051,605878.122941
2037.917,6061216.97243,700957.031573,606667.20677
2038.0,6069074.45783,701431.345831,607453.662484
2038.083,6076905.93144,701905.981042,608237.514678
2038.167,6084711.63697,702380.937423,609018.787744
2038.25,6092491.81611,702856.21519,609797.505874
2038.333,6100246.70855,703331.814563,610573.693059
2038.417,6107976.55201,703807.735757,611347.373091
2038.5,6115681.58223,704283.978992,612118.569566
2038.583,6123362.03302,704760.544484,612887.305885
2038.667,6131018.13624,705237.432453,613653.605256
2038.75,6138650.12184,705714.643115,614417.490694
2038.833,6146258.21787,706192.17669,615178.985027
2038.917,6153842.65051,706670.033397,615938.110889
2039.0,6161403.64405,707148.213452,616694.890733
2039.083,6168941.42094,707626.717077,617449.346822
2039.167,6176456.2018,708105.544489,618201.501238
2039.25,6183948.2054,708584.695907,618951.375879
2039.333,6191417.64874,709064.171551,619698.992462
2039.417,6198864.747,709543.971641,620444.372527
2039.5,6206289.71359,710024.096395,621187.537433
2039.583,6213692.76017,710504.546034,621928.508365
2039.667,6221074.09664,710985.320776,622667.306333
2039.75,6228433.93118,711466.420843,623403.952172
2039.833,6235772.47023,711947.846455,624138.466546
2039.917,6243089.91856,712429.597831,624870.869949
2040.0,6250386.47922,712911.675192,625601.182705
2040.083,6257662.35359,713394.078759,626329.424971
2040.167,6264917.74141,713876.808752,627055.616737
2040.25,6272152.84074,714359.865393,627779.77783
2040.333,6279367.84804,714843.248902,628501.92791
2040.417,6286562.95812,715326.9595,629222.086478
2040.5,6293738.36421,715810.99741,629940.272873
2040.583,6300894.25792,716295.362851,630656.506275
2040.667,6308030.8293,716780.056047,631370.805705
2040.75,6315148.26683,717265.077218,632083.190027
2040.833,6322246.75743,717750.426587,632793.677951
2040.917,6329326.48648,718236.104376,633502.288032
2041.0,6336387.63784,718722.110806,634209.038672
2041.083,6343430.39385,719208.446101,634913.948121
2041.167,6350454.93535,719695.110483,635617.034479
2041.25,6357461.44168,720182.104174,636318.315698
2041.333,6364450.09072,720669.427398,637017.809581
2041.417,6371421.05888,721157.080377,637715.533783
2041.5,6378374.52109,721645.063335,638411.505816
2041.583,6385310.65089,722133.376495,639105.743047
2041.667,6392229.62034,722622.020079,639798.2627
2041.75,6399131.60012,723110.994313,640489.081856
2041.833,6406016.75949,723600.299419,641178.217458
2041.917,6412885.26632,724089.935622,641865.686306
2042.0,6419737.2871,724089.935622,641865.686306
