months,poblacion,inmigrantes',defunciones',emigrantes',nacimientos'
2038.25,11410003.4933,82152.0251521,94474.8289249,10269.003144,115241.035283
2038.333,11417724.2624,82207.6146891,94538.7568925,10275.9518361,115319.01505
2038.417,11425450.2558,82263.2418417,94602.728118,10282.9052302,115397.047584
2038.5,11433181.4771,82318.9066354,94666.7426307,10289.8633294,115475.132919
2038.583,11440917.9299,82374.6090955,94730.8004599,10296.8261369,115553.271092
2038.667,11448659.6177,82430.3492477,94794.9016349,10303.793656,115631.462139
2038.75,11456406.5441,82486.1271174,94859.046185,10310.7658897,115709.706095
2038.833,11464158.7125,82541.94273,94923.2341395,10317.7428413,115788.002996
2038.917,11471916.1266,82597.7961113,94987.465528,10324.7245139,115866.352878
2039.0,11479678.7898,82653.6872867,95051.7403796,10331.7109108,115944.755777
2039.083,11487446.7058,82709.6162817,95116.058724,10338.7020352,116023.211729
2039.167,11495219.8781,82765.5831221,95180.4205904,10345.6978903,116101.720768
2039.25,11502998.3102,82821.5878333,95244.8260083,10352.6984792,116180.282933
2039.333,11510782.0057,82877.6304411,95309.2750072,10359.7038051,116258.898258
2039.417,11518570.9682,82933.710971,95373.7676167,10366.7138714,116337.566779
2039.5,11526365.2012,82989.8294488,95438.3038661,10373.7286811,116416.288532
2039.583,11534164.7083,83045.9859,95502.883785,10380.7482375,116495.063554
2039.667,11541969.4931,83102.1803505,95567.5074031,10387.7725438,116573.891881
2039.75,11549779.5591,83158.4128259,95632.1747497,10394.8016032,116652.773547
2039.833,11557594.91,83214.6833519,95696.8858547,10401.835419,116731.708591
2039.917,11565415.5492,83270.9919543,95761.6407474,10408.8739943,116810.697047
2040.0,11573241.4804,83327.3386588,95826.4394577,10415.9173324,116889.738952
2040.083,11581072.7071,83383.7234913,95891.282015,10422.9654364,116968.834342
2040.167,11588909.233,83440.1464775,95956.1684492,10430.0183097,117047.983253
2040.25,11596751.0616,83496.6076433,96021.0987898,10437.0759554,117127.185722
2040.333,11604598.1965,83553.1070145,96086.0730667,10444.1383768,117206.441784
2040.417,11612450.6412,83609.6446169,96151.0913095,10451.2055771,117285.751477
2040.5,11620308.3995,83666.2204764,96216.1535479,10458.2775596,117365.114835
2040.583,11628171.4749,83722.834619,96281.2598118,10465.3543274,117444.531896
2040.667,11636039.8709,83779.4870704,96346.4101309,10472.4358838,117524.002696
2040.75,11643913.5912,83836.1778566,96411.6045351,10479.5222321,117603.527271
2040.833,11651792.6394,83892.9070037,96476.8430542,10486.6133755,117683.105658
2040.917,11659677.0191,83949.6745374,96542.125718,10493.7093172,117762.737893
2041.0,11667566.7339,84006.4804838,96607.4525564,10500.8100605,117842.424012
2041.083,11675461.7874,84063.324869,96672.8235993,10507.9156086,117922.164052
2041.167,11683362.1832,84120.2077188,96738.2388766,10515.0259648,118001.95805
2041.25,11691267.9249,84177.1290593,96803.6984182,10522.1411324,118081.806042
2041.333,11699179.0162,84234.0889167,96869.2022542,10529.2611146,118161.708064
2041.417,11707095.4607,84291.0873168,96934.7504144,10536.3859146,118241.664153
2041.5,11715017.2619,84348.1242859,97000.3429288,10543.5155357,118321.674346
2041.583,11722944.4236,84405.19985,97065.9798275,10550.6499813,118401.738679
2041.667,11730876.9493,84462.3140353,97131.6611405,10557.7892544,118481.857188
2041.75,11738814.8427,84519.4668678,97197.3868979,10564.9333585,118562.029912
2041.833,11746758.1075,84576.6583737,97263.1571297,10572.0822967,118642.256885
2041.917,11754706.7471,84633.8885792,97328.971866,10579.2360724,118722.538146
2042.0,11762660.7653,84633.8885792,97328.971866,10579.2360724,118722.538146
