months,hombres,defhom,emihom,nachom,inmhom
2038,5401560.78,27331.9,2700.78,27823.44,16858.19
2038.083333,5403177.19,27340.08,2701.59,27831.77,16864.55
2038.166667,5404794.09,27348.26,2702.4,27840.09,16870.91
2038.25,5406411.48,27356.44,2703.21,27848.43,16877.28
2038.333333,5408029.35,27364.63,2704.01,27856.76,16883.65
2038.416667,5409647.7,27372.82,2704.82,27865.1,16890.02
2038.5,5411266.54,27381.01,2705.63,27873.43,16896.4
2038.583333,5412885.86,27389.2,2706.44,27881.78,16902.77
2038.666667,5414505.67,27397.4,2707.25,27890.12,16909.15
2038.75,5416125.96,27405.6,2708.06,27898.46,16915.54
2038.833333,5417746.73,27413.8,2708.87,27906.81,16921.92
2038.916667,5419367.99,27422.0,2709.68,27915.16,16928.31
2039,5420989.74,27430.21,2710.49,27923.52,16934.7
2039.083333,5422611.97,27438.42,2711.31,27931.87,16941.09
2039.166667,5424234.69,27446.63,2712.12,27940.23,16947.48
2039.25,5425857.89,27454.84,2712.93,27948.59,16953.88
2039.333333,5427481.58,27463.06,2713.74,27956.96,16960.28
2039.416667,5429105.75,27471.28,2714.55,27965.32,16966.68
2039.5,5430730.41,27479.5,2715.37,27973.69,16973.08
2039.583333,5432355.56,27487.72,2716.18,27982.06,16979.49
2039.666667,5433981.19,27495.94,2716.99,27990.44,16985.89
2039.75,5435607.31,27504.17,2717.8,27998.81,16992.31
2039.833333,5437233.91,27512.4,2718.62,28007.19,16998.72
2039.916667,5438861.01,27520.64,2719.43,28015.57,17005.13
2040,5440488.58,27528.87,2720.24,28023.96,17011.55
2040.083333,5442116.65,27537.11,2721.06,28032.34,17017.97
2040.166667,5443745.2,27545.35,2721.87,28040.73,17024.4
2040.25,5445374.25,27553.59,2722.69,28049.12,17030.82
2040.333333,5447003.77,27561.84,2723.5,28057.52,17037.25
2040.416667,5448633.79,27570.09,2724.32,28065.91,17043.68
2040.5,5450264.29,27578.34,2725.13,28074.31,17050.11
2040.583333,5451895.28,27586.59,2725.95,28082.71,17056.55
2040.666667,5453526.76,27594.85,2726.76,28091.12,17062.98
2040.75,5455158.73,27603.1,2727.58,28099.52,17069.42
2040.833333,5456791.19,27611.36,2728.4,28107.93,17075.87
2040.916667,5458424.13,27619.63,2729.21,28116.34,17082.31
2041,5460057.57,27627.89,2730.03,28124.76,17088.76
2041.083333,5461691.49,27636.16,2730.85,28133.17,17095.21
2041.166667,5463325.9,27644.43,2731.66,28141.59,17101.66
2041.25,5464960.8,27652.7,2732.48,28150.01,17108.11
2041.333333,5466596.19,27660.98,2733.3,28158.44,17114.57
2041.416667,5468232.07,27669.25,2734.12,28166.86,17121.03
2041.5,5469868.44,27677.53,2734.93,28175.29,17127.49
2041.583333,5471505.3,27685.82,2735.75,28183.72,17133.96
2041.666667,5473142.64,27694.1,2736.57,28192.16,17140.42
2041.75,5474780.48,27702.39,2737.39,28200.59,17146.89
2041.833333,5476418.81,27710.68,2738.21,28209.03,17153.36
2041.916667,5478057.63,27718.97,2739.03,28217.47,17159.84
Final,5479696.94,,,,
