months,mujeresenfermas,mujerescuradas,mujeresfallecidas
2033.833,244581.313234,220.123181911,72.7629406871
2033.917,246608.894294,221.948004864,73.3661460524
2034.0,248648.320685,223.783488616,73.9728754036
2034.083,250699.605454,225.629644909,74.5831326227
2034.167,252762.756105,227.486480494,75.1969199412
2034.25,254837.774535,229.353997082,75.8142379243
2034.333,256924.656995,231.232191295,76.4350854559
2034.417,259023.39404,233.121054636,77.0594597268
2034.5,261133.970501,235.020573451,77.6873562241
2034.583,263256.365457,236.930728911,78.3187687233
2034.667,265390.552209,238.851496988,78.9536892821
2034.75,267536.49827,240.782848443,79.5921082353
2034.833,269694.165353,242.724748818,80.2340141926
2034.917,271863.509368,244.677158431,80.8793940369
2035.0,274044.480417,246.640032375,81.5282329241
2035.083,276237.022808,248.613320527,82.1805142853
2035.167,278441.075055,250.59696755,82.836219829
2035.25,280656.569901,252.590912911,83.4953295455
2035.333,282883.434325,254.595090893,84.1578217118
2035.417,285121.589574,256.609430617,84.8236728983
2035.5,287370.951178,258.63385606,85.4928579755
2035.583,289631.428984,260.668286086,86.1653501228
2035.667,291902.927185,262.712634466,86.8411208374
2035.75,294763.231012,265.286907911,87.6920612262
2035.833,297637.049055,267.873344149,88.5470220938
2035.917,300524.240614,270.471816553,89.4059615828
2036.0,303424.658113,273.082192301,90.2688357885
2036.083,306338.147146,275.704332431,91.1355987758
2036.167,309264.546539,278.338091885,92.0062025954
2036.25,312203.688409,280.983319568,92.8805973018
2036.333,315155.398223,283.639858401,93.7587309714
2036.417,318119.494863,286.307545376,94.6405497216
2036.5,321095.79069,288.986211621,95.5259977301
2036.583,324084.091613,291.675682452,96.415017255
2036.667,327084.19716,294.375777444,97.3075486552
2036.75,330095.900543,297.086310489,98.2035304116
2036.833,333118.988734,299.80708986,99.1028991483
2036.917,336153.242537,302.537918283,100.005589655
2037.0,339198.436664,305.278592998,100.911534908
2037.083,342254.339809,308.028905828,101.820666093
2037.167,345320.714727,310.788643254,102.732912631
2037.25,348397.318308,313.557586477,103.648202197
2037.333,351483.901659,316.335511493,104.566460744
2037.417,354580.210184,319.122189166,105.48761253
2037.5,357685.983688,321.917385319,106.411580147
2037.583,360800.956508,324.720860857,107.338284561
2037.667,363924.85767,327.532371903,108.267645157
2037.75,367057.411067,330.35166996,109.199579792
2037.833,370198.335649,333.178502084,110.134004856
2037.917,373347.345644,336.01261108,111.070835329
2038.0,376504.15079,338.853735711,112.00998486
2038.083,379668.456578,341.70161092,112.951365832
2038.167,382839.964521,344.555968069,113.894889445
2038.25,386018.372428,347.416535185,114.840465797
2038.333,389203.374689,350.28303722,115.78800397
2038.417,392394.662581,353.155196323,116.737412118
2038.5,395591.924573,356.032732116,117.688597561
2038.583,398794.846649,358.915361984,118.641466878
2038.667,402003.112632,361.802801369,119.595926008
2038.75,405216.404523,364.69476407,120.551880346
2038.833,408434.402839,367.590962555,121.509234845
2038.917,411656.786966,370.49110827,122.467894122
2039.0,414883.235509,373.394911958,123.427762564
2039.083,418113.42665,376.302083985,124.388744428
2039.167,421347.038511,379.212334659,125.350743957
2039.25,424583.749519,382.125374568,126.313665482
2039.333,427823.238778,385.0409149,127.277413536
2039.417,431065.18643,387.958667787,128.241892963
2039.5,434309.274039,390.878346635,129.207009027
2039.583,437555.184955,393.79966646,130.172667524
2039.667,440802.604696,396.722344227,131.138774897
